"id","lon","lat","name","address","state_code","city","state_random_number","city_random_number","revenue","state_name","state_capital","population"
1,-149.8935557,61.21759217,"Starbucks - AK - Anchorage  00001","601 West Street_601 West 5th Avenue_Anchorage, Alaska 99501_907-277-2477","AK","Anchorage",4,1,139154,"Alaska","Juneau",32113
2,-149.9054948,61.19533942,"Starbucks - AK - Anchorage  00002","Carrs-Anchorage #1805_1650 W Northern Lights Blvd_Anchorage, Alaska 99503_907-339-0500","AK","Anchorage",4,1,169390,"Alaska","Juneau",32113
3,-149.7522,61.2297,"Starbucks - AK - Anchorage  00003","Elmendorf AFB_Bldg 5800 Westover Avenue_Anchorage, Alaska 99506","AK","Anchorage",4,1,145984,"Alaska","Juneau",32113
4,-149.8643361,61.19525062,"Starbucks - AK - Anchorage  00004","Fred Meyer - Anchorage #11_1000 E Northern Lights Blvd_Anchorage, Alaska 995084283_907-264-9600","AK","Anchorage",4,1,147923,"Alaska","Juneau",32113
5,-149.8379726,61.13751355,"Starbucks - AK - Anchorage  00005","Fred Meyer - Anchorage #656_2300 Abbott Road_Anchorage, Alaska 99507_907-365-2000","AK","Anchorage",4,1,160387,"Alaska","Juneau",32113
6,-149.9092788,61.13994658,"Starbucks - AK - Anchorage  00006","Fred Meyer - Anchorage (Dimond) #71_2000 W Dimond Blvd_Anchorage, Alaska 995151400_907-267-6700","AK","Anchorage",4,1,153454,"Alaska","Juneau",32113
7,-149.7364877,61.19533265,"Starbucks - AK - Anchorage  00007","Safeway-Anchorage #1817_7731 E Northern Lights Blvd_Anchorage, Alaska 99504_907-331-1700","AK","Anchorage",4,1,147998,"Alaska","Juneau",32113
8,-149.8211,61.2156,"Starbucks - AK - Anchorage  00008","Safeway - Anchorage #520_3101 PENLAND PKWY._Anchorage, Alaska 99508","AK","Anchorage",4,1,158668,"Alaska","Juneau",32113
9,-149.8445832,61.13806145,"Starbucks - AK - Anchorage  00009","Safeway-Anchorage #2628_1725 Abbott Rd_Anchorage, Alaska 99507_907-339-2800","AK","Anchorage",4,1,167313,"Alaska","Juneau",32113
10,-149.9728678,61.176693,"Starbucks - AK - Anchorage [A]  00010","ANC Anchorage_5000 W. Int'l Airport Rd._Anchorage, Alaska 99502_907-243-4331","AK","Anchorage",4,1,131957,"Alaska","Juneau",32113
11,-149.8638034,61.14473454,"Starbucks - AK - Anchorage [D]  00011","Old Seward & Dimond_1005 E Dimond Blvd_Anchorage, Alaska 99515_907-344-4160","AK","Anchorage",4,1,163132,"Alaska","Juneau",32113
12,-149.8359225,61.18081843,"Starbucks - AK - Anchorage [D]  00012","Tudor & Lake Otis- Anchorage_2421 East Tudor Road_Anchorage, Alaska 99507_907-561-1644","AK","Anchorage",4,1,160366,"Alaska","Juneau",32113
13,-149.88695,61.180763,"Starbucks - AK - Anchorage [D]  00013","Tudor Rd and C Street_110 W. Tudor Rd_Anchorage, Alaska 99503_907-561-3141","AK","Anchorage",4,1,123774,"Alaska","Juneau",32113
14,-149.552503,61.345921,"Starbucks - AK - Eagle River  00014","Fred Meyer-Eagle River #668_13401 Old Glenn Hwy_Eagle River, Alaska 99577","AK","Eagle river",4,2,212694,"Alaska","Juneau",32113
15,-149.5708432,61.32360721,"Starbucks - AK - Eagle River  00015","Safeway-Eagle River #1807_11409 Business Blvd_Eagle River, Alaska 99577_907-696-6400","AK","Eagle river",4,2,204256,"Alaska","Juneau",32113
16,-149.571083,61.3252,"Starbucks - AK - Eagle River [D]  00016","Coronado Rd- Eagle River_16707 Coronado Road_Eagle River, Alaska 99577_907-696-6055","AK","Eagle river",4,2,207369,"Alaska","Juneau",32113
17,-147.690082,64.8522227,"Starbucks - AK - Fairbanks  00017","Fred Meyer - Fairbanks #224_930 Old Steese Hwy_Fairbanks, Alaska 99701_907-459-4629","AK","Fairbanks",4,2,177800,"Alaska","Juneau",32113
18,-147.7044254,64.85064492,"Starbucks - AK - Fairbanks  00018","Safeway-Fairbanks #3410_30 College Rd_Fairbanks, Alaska 99701_907-374-4100","AK","Fairbanks",4,2,218661,"Alaska","Juneau",32113
19,-147.8222994,64.83696195,"Starbucks - AK - Fairbanks  00019","Fred Meyer-Fairbanks #485_3755 Airport Way_Fairbanks, Alaska 997094610_907-474-1403","AK","Fairbanks",4,2,258500,"Alaska","Juneau",32113
20,-151.53123,59.64204,"Starbucks - AK - Homer  00020","Safeway-Homer #1832_90 Sterling Hwy_Homer, Alaska 99603","AK","Homer",4,1,161152,"Alaska","Juneau",32113
21,-134.5621,58.3601,"Starbucks - AK - Juneau  00021","Fred Meyer-Juneau #158_8181 Old Glacier Hwy_Juneau, Alaska 998018035","AK","Juneau",4,1,153937,"Alaska","Juneau",32113
22,-131.680747,55.35173351,"Starbucks - AK - Ketchikan  00022","Carrs-Ketchikan #1818_2417 Tongass Ave_Ketchikan, Alaska 99901_907-228-1900","AK","Ketchikan",4,1,156111,"Alaska","Juneau",32113
23,-152.3609342,57.81208717,"Starbucks - AK - Kodiak  00023","Safeway-Kodiak #1090_2685 Mill Bay Rd_Kodiak, Alaska 99615_907-481-1500","AK","Kodiak",4,1,165319,"Alaska","Juneau",32113
24,-149.1183292,61.60093654,"Starbucks - AK - Palmer  00024","Fred Meyer - Palmer #671_650 N Cobb St_Palmer, Alaska 99645_907-761-4200","AK","Palmer",4,1,162518,"Alaska","Juneau",32113
25,-149.4331873,60.12892832,"Starbucks - AK - Seward  00025","Safeway-Seward #2728_1907 Seward Hwy_Seward, Alaska 99664","AK","Seward",4,1,135108,"Alaska","Juneau",32113
26,-151.0417651,60.49443906,"Starbucks - AK - Soldotna  00026","Safeway-Soldotna #548_44428 Sterling Hwy S_Soldotna, Alaska 99669","AK","Soldotna",4,2,236850,"Alaska","Juneau",32113
27,-151.051614,60.489986,"Starbucks - AK - Soldotna  00027","Fred Meyer-Soldotna #17_43843 Sterling Hwy_Soldotna, Alaska 99669_907-262-2200","AK","Soldotna",4,2,225660,"Alaska","Juneau",32113
28,-149.40958,61.57691,"Starbucks - AK - Wasilla  00028","Fred Meyer - Wasilla #653_1501 East Parks Highway_Wasilla, Alaska 99654_907-352-5000","AK","Wasilla",4,1,149064,"Alaska","Juneau",32113
29,-86.827626,33.2152,"Starbucks - AL - Alabaster [WD]  00029","Hwy 119 & Kent Dairy_2171 Kent Dairy Rd_Alabaster, Alabama 35007_205-685-9705","AL","Alabaster",3,1,134923,"Alabama","Montgomery",198218
30,-86.949656,34.785059,"Starbucks - AL - Athens [WD]  00030","Hwy 72 & Braly_1286 Hwy 72 East_Athens, Alabama 35611_256-230-9298","AL","Athens",3,1,128422,"Alabama","Montgomery",198218
31,-86.78842024,33.50904809,"Starbucks - AL - Birmingham  00031","Saint Vincents Hospital_810 Saint Vincents Dr_Birmingham, Alabama 35202","AL","Birmingham",3,3,232189,"Alabama","Montgomery",198218
32,-86.826127,33.447522,"Starbucks - AL - Birmingham  00032","State Farm & Lakeshore_231 State Farm Pkwy_Birmingham, Alabama 35209_205-945-2512","AL","Birmingham",3,3,218633,"Alabama","Montgomery",198218
